name,slug, liters of pure alcohol,date_of_information,ranking,region
"Cook Islands","cook-islands","12.97","2019",1,"Australia and Oceania"
"Latvia","latvia","12.9","2019",2,"Europe"
"Czechia","czechia","12.73","2019",3,"Europe"
"Lithuania","lithuania","11.93","2019",4,"Europe"
"Austria","austria","11.9","2019",5,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","11.88","2019",6,"Central America and the Caribbean"
"Estonia","estonia","11.65","2019",7,"Europe"
"France","france","11.44","2019",8,"Europe"
"Bulgaria","bulgaria","11.18","2019",9,"Europe"
"Slovenia","slovenia","11.05","2019",10,"Europe"
"Luxembourg","luxembourg","11","2019",11,"Europe"
"Andorra","andorra","10.99","2019",12,"Europe"
"Poland","poland","10.96","2019",13,"Europe"
"Romania","romania","10.96","2019",14,"Europe"
"Ireland","ireland","10.91","2019",15,"Europe"
"Hungary","hungary","10.79","2019",16,"Europe"
"Spain","spain","10.72","2019",17,"Europe"
"Belarus","belarus","10.57","2019",18,"Europe"
"Germany","germany","10.56","2019",19,"Europe"
"Portugal","portugal","10.37","2019",20,"Europe"
"Slovakia","slovakia","10.3","2019",21,"Europe"
"Barbados","barbados","9.94","2019",22,"Central America and the Caribbean"
"Montenegro","montenegro","9.91","2019",23,"Europe"
"United Kingdom","united-kingdom","9.8","2019",24,"Europe"
"Croatia","croatia","9.64","2019",25,"Europe"
"Cyprus","cyprus","9.59","2019",26,"Europe"
"Australia","australia","9.51","2019",27,"Australia and Oceania"
"Seychelles","seychelles","9.48","2019",28,"Africa"
"Bahamas, The","bahamas-the","9.48","2019",29,"Central America and the Caribbean"
"Switzerland","switzerland","9.41","2019",30,"Europe"
"Saint Lucia","saint-lucia","9.3","2019",31,"Central America and the Caribbean"
"New Zealand","new-zealand","9.17","2019",32,"Australia and Oceania"
"Denmark","denmark","9.16","2019",33,"Europe"
"Belgium","belgium","9.15","2019",34,"Europe"
"United States","united-states","8.93","2019",35,"North America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","8.84","2019",36,"Central America and the Caribbean"
"Grenada","grenada","8.62","2019",37,"Central America and the Caribbean"
"Niue","niue","8.5","2019",38,"Australia and Oceania"
"Japan","japan","8.36","2019",39,"East and Southeast Asia"
"Netherlands","netherlands","8.23","2019",40,"Europe"
"Finland","finland","8.23","2019",41,"Europe"
"Laos","laos","8.15","2019",42,"East and Southeast Asia"
"Malta","malta","8.07","2019",43,"Europe"
"Canada","canada","8","2019",44,"North America"
"Argentina","argentina","7.95","2019",45,"South America"
"Tanzania","tanzania","7.81","2019",46,"Africa"
"Chile","chile","7.8","2019",47,"South America"
"Korea, South","korea-south","7.74","2019",48,"East and Southeast Asia"
"Iceland","iceland","7.72","2019",49,"Europe"
"Eswatini","eswatini","7.68","2019",50,"Africa"
"Italy","italy","7.65","2019",51,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","7.48","2019",52,"Central America and the Caribbean"
"Georgia","georgia","7.45","2019",53,"Middle East"
"Moldova","moldova","7.45","2019",54,"Europe"
"Serbia","serbia","7.45","2019",55,"Europe"
"Russia","russia","7.29","2019",56,"Central Asia"
"Burkina Faso","burkina-faso","7.28","2019",57,"Africa"
"South Africa","south-africa","7.21","2019",58,"Africa"
"Sweden","sweden","7.1","2019",59,"Europe"
"Thailand","thailand","6.86","2019",60,"East and Southeast Asia"
"Uganda","uganda","6.82","2019",61,"Africa"
"Suriname","suriname","6.6","2019",62,"South America"
"Panama","panama","6.54","2019",63,"Central America and the Caribbean"
"Gabon","gabon","6.47","2019",64,"Africa"
"Rwanda","rwanda","6.35","2019",65,"Africa"
"Greece","greece","6.33","2019",66,"Europe"
"Dominica","dominica","6.32","2019",67,"Central America and the Caribbean"
"Brazil","brazil","6.12","2019",68,"South America"
"Equatorial Guinea","equatorial-guinea","6.11","2019",69,"Africa"
"Norway","norway","6.05","2019",70,"Europe"
"Botswana","botswana","5.98","2019",71,"Africa"
"Belize","belize","5.93","2019",72,"Central America and the Caribbean"
"Angola","angola","5.84","2019",73,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","5.81","2019",74,"Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","5.74","2019",75,"Africa"
"Peru","peru","5.74","2019",76,"South America"
"Ukraine","ukraine","5.69","2019",77,"Europe"
"Dominican Republic","dominican-republic","5.56","2019",78,"Central America and the Caribbean"
"Paraguay","paraguay","5.47","2019",79,"South America"
"Mongolia","mongolia","5.46","2019",80,"East and Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","5.46","2019",81,"Europe"
"Uruguay","uruguay","5.42","2019",82,"South America"
"Guyana","guyana","5.11","2019",83,"South America"
"Philippines","philippines","4.85","2019",84,"East and Southeast Asia"
"Cuba","cuba","4.7","2019",85,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","4.7","2019",86,"Africa"
"Cambodia","cambodia","4.56","2019",87,"East and Southeast Asia"
"Nigeria","nigeria","4.49","2019",88,"Africa"
"China","china","4.48","2019",89,"East and Southeast Asia"
"Albania","albania","4.4","2019",90,"Europe"
"Mexico","mexico","4.25","2019",91,"North America"
"Sao Tome and Principe","sao-tome-and-principe","4.23","2019",92,"Africa"
"Colombia","colombia","4.09","2019",93,"South America"
"Cameroon","cameroon","4.09","2019",94,"Africa"
"Burundi","burundi","4.07","2019",95,"Africa"
"Kyrgyzstan","kyrgyzstan","4.02","2019",96,"Central Asia"
"North Macedonia","north-macedonia","3.9","2019",97,"Europe"
"Zambia","zambia","3.82","2019",98,"Africa"
"Armenia","armenia","3.77","2019",99,"Middle East"
"Kazakhstan","kazakhstan","3.73","2019",100,"Central Asia"
"Nicaragua","nicaragua","3.69","2019",101,"Central America and the Caribbean"
"Korea, North","korea-north","3.61","2019",102,"East and Southeast Asia"
"Lesotho","lesotho","3.56","2019",103,"Africa"
"Jamaica","jamaica","3.46","2019",104,"Central America and the Caribbean"
"Vietnam","vietnam","3.41","2019",105,"East and Southeast Asia"
"Mauritius","mauritius","3.39","2019",106,"Africa"
"Sierra Leone","sierra-leone","3.22","2019",107,"Africa"
"Guinea-Bissau","guinea-bissau","3.21","2019",108,"Africa"
"Liberia","liberia","3.12","2019",109,"Africa"
"Zimbabwe","zimbabwe","3.11","2019",110,"Africa"
"India","india","3.09","2019",111,"South Asia"
"Israel","israel","3.07","2019",112,"Middle East"
"Costa Rica","costa-rica","3.07","2019",113,"Central America and the Caribbean"
"Ecuador","ecuador","3.05","2019",114,"South America"
"Bolivia","bolivia","2.98","2019",115,"South America"
"El Salvador","el-salvador","2.94","2019",116,"Central America and the Caribbean"
"Turkmenistan","turkmenistan","2.88","2019",117,"Central Asia"
"Haiti","haiti","2.85","2019",118,"Central America and the Caribbean"
"Honduras","honduras","2.73","2019",119,"Central America and the Caribbean"
"Fiji","fiji","2.71","2019",120,"Australia and Oceania"
"Gambia, The","gambia-the","2.67","2019",121,"Africa"
"Sri Lanka","sri-lanka","2.58","2019",122,"South Asia"
"Venezuela","venezuela","2.51","2019",123,"South America"
"Uzbekistan","uzbekistan","2.45","2019",124,"Central Asia"
"Nauru","nauru","2.44","2019",125,"Australia and Oceania"
"Namibia","namibia","2.38","2019",126,"Africa"
"Samoa","samoa","2.18","2019",127,"Australia and Oceania"
"Burma","burma","2.06","2019",128,"East and Southeast Asia"
"Malawi","malawi","2.04","2019",129,"Africa"
"United Arab Emirates","united-arab-emirates","2.03","2019",130,"Middle East"
"Sudan","sudan","1.93","2019",131,"Africa"
"Singapore","singapore","1.81","2019",132,"East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","1.7","2019",133,"Africa"
"Kenya","kenya","1.68","2019",134,"Africa"
"Guatemala","guatemala","1.63","2019",135,"Central America and the Caribbean"
"Vanuatu","vanuatu","1.6","2019",136,"Australia and Oceania"
"Ghana","ghana","1.59","2019",137,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","1.59","2019",138,"Australia and Oceania"
"Tunisia","tunisia","1.51","2019",139,"Africa"
"Mozambique","mozambique","1.46","2019",140,"Africa"
"Togo","togo","1.4","2019",141,"Africa"
"Maldives","maldives","1.38","2019",142,"South Asia"
"Azerbaijan","azerbaijan","1.38","2019",143,"Middle East"
"Papua New Guinea","papua-new-guinea","1.26","2019",144,"East and Southeast Asia"
"Benin","benin","1.25","2019",145,"Africa"
"Solomon Islands","solomon-islands","1.19","2019",146,"Australia and Oceania"
"Turkey (Turkiye)","turkey-turkiye","1.18","2019",147,"Middle East"
"Bahrain","bahrain","1.18","2019",148,"Middle East"
"Ethiopia","ethiopia","1.16","2019",149,"Africa"
"Lebanon","lebanon","1.14","2019",150,"Middle East"
"Qatar","qatar","0.96","2019",151,"Middle East"
"Central African Republic","central-african-republic","0.94","2019",152,"Africa"
"Eritrea","eritrea","0.93","2019",153,"Africa"
"Tuvalu","tuvalu","0.93","2019",154,"Australia and Oceania"
"Madagascar","madagascar","0.89","2019",155,"Africa"
"Tajikistan","tajikistan","0.85","2019",156,"Central Asia"
"Brunei","brunei","0.69","2019",157,"East and Southeast Asia"
"Malaysia","malaysia","0.64","2019",158,"East and Southeast Asia"
"Mali","mali","0.6","2019",159,"Africa"
"Algeria","algeria","0.59","2019",160,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.56","2019",161,"Africa"
"Chad","chad","0.55","2019",162,"Africa"
"Morocco","morocco","0.51","2019",163,"Africa"
"Oman","oman","0.47","2019",164,"Middle East"
"Kiribati","kiribati","0.43","2019",165,"Australia and Oceania"
"Timor-Leste","timor-leste","0.41","2019",166,"East and Southeast Asia"
"Nepal","nepal","0.36","2019",167,"South Asia"
"Guinea","guinea","0.33","2019",168,"Africa"
"Tonga","tonga","0.31","2019",169,"Australia and Oceania"
"Senegal","senegal","0.25","2019",170,"Africa"
"Jordan","jordan","0.25","2019",171,"Middle East"
"Djibouti","djibouti","0.21","2019",172,"Africa"
"Comoros","comoros","0.18","2019",173,"Africa"
"Iraq","iraq","0.16","2019",174,"Middle East"
"Egypt","egypt","0.14","2019",175,"Africa"
"Syria","syria","0.13","2019",176,"Middle East"
"Niger","niger","0.11","2019",177,"Africa"
"Indonesia","indonesia","0.08","2019",178,"East and Southeast Asia"
"Bhutan","bhutan","0.07","2019",179,"South Asia"
"Pakistan","pakistan","0.04","2019",180,"South Asia"
"Iran","iran","0.02","2019",181,"Middle East"
"Yemen","yemen","0.02","2019",182,"Middle East"
"Afghanistan","afghanistan","0.01","2019",183,"South Asia"
"Libya","libya","0.01","2019",184,"Africa"
"Saudi Arabia","saudi-arabia","0","2019",185,"Middle East"
"Mauritania","mauritania","0","2019",186,"Africa"
"Bangladesh","bangladesh","0","2019",187,"South Asia"
"Somalia","somalia","0","2019",188,"Africa"
"Kuwait","kuwait","0","2019",189,"Middle East"