"country","WineConsumption_WineConsumptionPerCapita_2022","WineConsumption_AnnualWineConsumption_2022","WineConsumption_WineConsumptionPerCapita_2021","WineConsumption_AnnualWineConsumption_2021","WineConsumption_WineConsumptionPerCapita_2020","WineConsumption_AnnualWineConsumption_2020"
"India",,7,,5,,2
"China",1.51,2151,1.57,2236,1.71,2432
"United States",9.27,3138,9.1,3066,7.83,2629
"Indonesia",0.01,4,0.01,3,0.01,3
"Nigeria",0.13,28,0.16,35,0.11,23
"Brazil",2.12,457,2.29,491,2.19,467
"Russia",6.54,947,7.54,1094,7.31,1064
"Ethiopia",0.01,1,,1,0.01,1
"Mexico",0.13,17,0.1,13,0.07,9
"Japan",2.61,324,2.42,302,2.76,345
"Egypt",0.05,5,0.05,5,0.04,5
"Philippines",0.15,18,0.13,15,0.08,9
"DR Congo",0.08,8,0.04,4,0.02,2
"Vietnam",0.29,28,0.11,11,0.12,12
"Turkey",0.91,78,1.18,100,3.66,308
"Germany",17.28,1441,18,1502,18.08,1507
"Thailand",0.06,4,0.02,2,0.03,2
"United Kingdom",19.4,1310,20.15,1355,21.02,1409
"Tanzania",0.11,7,0.11,7,0.09,6
"France",42.81,2766,32.21,2078,42.1,2715
"South Africa",3.03,182,2.84,169,4.1,241
"Italy",39.24,2317,41.89,2481,42.11,2506
"Kenya",0.17,9,0.16,8,0.15,8
"Myanmar",0.03,2,0.04,2,0.05,3
"Colombia",0.72,38,0.58,30,0.52,27
"South Korea",1.36,70,1.41,73,1.07,56
"Uganda",0.07,3,0.09,4,0.06,3
"Spain",19.59,932,18.44,876,31.76,1504
"Algeria",0.27,12,0.31,14,0.12,5
"Iraq",0.02,1,0.02,1,0.01,
"Argentina",18.64,848,20.34,921,15.49,698
"Canada",7.13,274,7.39,282,9.49,359
"Poland",5.04,201,4.9,188,4.29,165
"Morocco",1.33,50,1.15,42,1.15,42
"Angola",1.21,43,0.73,25,0.87,29
"Ukraine",2.1,83,3.08,134,2.69,118
"Uzbekistan",0.33,11,0.44,15,0.54,18
"Malaysia",0.85,29,0.53,18,0.22,7
"Mozambique",0.14,4,0.19,6,,
"Ghana",0.71,24,0.42,14,0.39,13
"Peru",2.82,96,2.81,95,2.71,90
"Madagascar",0.26,8,0.29,8,0.3,8
"Ivory Coast",2.07,58,2.11,58,1.47,39
"Nepal",0.02,,0.02,1,0.01,
"Cameroon",0.39,11,0.26,7,0.32,9
"Venezuela",0.28,8,0.23,6,0.25,7
"Niger",0.02,1,0.02,,0.03,1
"Australia",29.86,782,26.99,700,19.6,503
"Mali",0.05,1,0.08,2,0.16,3
"Burkina Faso",0.67,15,0.85,19,0.6,13
"Taiwan",0.93,22,0.85,20,0.72,17
"Sri Lanka",0.05,1,0.04,1,0.05,1
"Malawi",0.01,,0.01,,0.01,
"Zambia",0.14,3,0.12,2,0.14,3
"Kazakhstan",2.22,43,2.7,52,2.77,52
"Chad",0.01,,0.01,,0.02,
"Chile",18.93,371,22.31,435,9.79,189
"Romania",25.33,498,28.38,548,20.95,407
"Senegal",0.34,6,0.37,6,0.31,5
"Guatemala",0.39,7,0.34,6,0.23,4
"Netherlands",23.83,419,22.25,389,21.85,381
"Ecuador",0.83,15,0.76,14,0.58,10
"Cambodia",0.08,1,0.04,1,0.09,2
"Zimbabwe",0.29,5,0.16,3,0.06,1
"Guinea",0.22,3,0.29,4,0.23,3
"Benin",0.54,7,0.26,3,0.29,4
"Rwanda",0.32,4,0.12,2,0.13,2
"Burundi",0.08,1,0.07,1,0.05,1
"Bolivia",0.82,10,0.72,9,0.62,7
"Tunisia",2.55,32,2.19,27,2.5,30
"Haiti",0.38,4,0.5,6,0.47,5
"Belgium",23.36,272,28.95,336,29.4,340
"Jordan",0.09,1,0.07,1,0.14,2
"Dominican Republic",1.75,20,1.42,16,0.8,9
"United Arab Emirates",1.87,18,1.76,17,2,19
"Cuba",1.33,15,1.35,15,1.49,17
"Honduras",0.21,2,0.35,4,0.21,2
"Czech Republic",11.2,117,10.2,107,10.25,108
"Sweden",19.57,206,19.57,205,20.7,215
"Tajikistan",0.04,,0.04,,0.04,
"Papua New Guinea",0.26,3,0.02,,0.19,2
"Portugal",52.25,537,50.61,521,46.06,474
"Azerbaijan",0.68,7,0.7,7,0.67,7
"Greece",15.91,165,17.19,180,16.81,177
"Hungary",17.85,178,21.15,205,20.42,199
"Israel",1.21,11,1.31,12,0.93,8
"Austria",27.39,245,27.29,243,26.57,237
"Belarus",9.01,86,8.91,85,9.45,91
"Switzerland",33.13,290,30.24,263,31.95,276
"Sierra Leone",0.1,1,0.08,1,0.03,
"Laos",0.17,1,0.11,1,0.11,1
"Turkmenistan",8.24,53,8.32,53,7.79,49
"Hong Kong",3.67,27,4.02,30,3.88,29
"Libya",,,,,0.01,
"Kyrgyzstan",0.49,3,0.54,4,0.32,2
"Paraguay",3.39,23,4.16,28,3.83,25
"Nicaragua",0.25,2,0.3,2,0.25,2
"Bulgaria",11.03,75,9.59,66,9.93,69
"Serbia",5.19,37,5.5,40,5.34,39
"El Salvador",0.63,4,0.53,3,0.39,2
"Republic of the Congo",0.77,5,0.43,2,0.37,2
"Denmark",24.93,147,27.57,161,27.48,160
"Lebanon",0.12,1,0.42,2,0.23,1
"Finland",11.92,66,11.45,63,12.74,70
"Liberia",0.17,1,0.2,1,0.16,1
"Norway",16.97,92,20.17,109,20.33,109
"Slovakia",2.12,12,0.47,3,4.01,22
"Central African Republic",0.05,,12.08,66,0.09,
"Oman",0.26,1,0.21,1,0.21,1
"Ireland",17.48,88,20.62,103,24.7,122
"New Zealand",10.74,56,2.54,13,5.51,28
"Costa Rica",3.91,20,3.55,18,3.33,17
"Kuwait",0.04,,,,,
"Panama",2.23,10,1.5,7,1.71,7
"Croatia",14.57,59,17.75,72,14.73,60
"Georgia",4.84,18,9.83,37,6.34,24
"Mongolia",3.16,11,3.04,10,1,3
"Uruguay",22.36,77,22.21,76,19.22,66
"Bosnia and Herzegovina",2.53,8,3.09,10,2.88,10
"Qatar",0.87,2,0.53,1,0.46,1
"Moldova",17.86,50,17.53,45,18.13,47
"Namibia",14.94,38,19.11,48,14.73,37
"Armenia",1.75,5,2.73,8,2.42,7
"Lithuania",11.46,32,12.87,36,12.39,35
"Jamaica",0.02,,0.06,,0.5,1
"Albania",2.5,7,2.2,6,1.95,6
"Gambia",0.05,,,,0.01,
"Gabon",2.26,5,2.69,6,2.32,5
"Botswana",2.91,8,2.42,6,2.05,5
"Lesotho",1.19,3,0.95,2,0.67,2
"Slovenia",7.67,16,6.18,13,7.17,15
"Latvia",14.8,27,10.83,20,13.36,25
"North Macedonia",8.63,18,8.31,17,6.24,13
"Bahrain",1.22,2,1.13,2,0.94,1
"Trinidad and Tobago",3.84,6,3.33,5,2.77,4
"Timor-Leste",0.34,,0.12,,0.03,
"Estonia",16.93,22,15.87,21,14.7,20
"Cyprus",13.65,17,12.38,15,12.64,16
"Mauritius",3.55,5,4.07,5,4.13,5
"Eswatini",2.24,3,1.78,2,0.68,1
"Djibouti",0.19,,0.15,,0.19,
"Fiji",2.24,2,1.14,1,0.69,1
"Comoros",0.19,,0.07,,0.29,
"Guyana",0.6,,0.49,,0.21,
"Solomon Islands",0.22,,0.19,,0.36,
"Bhutan",0.66,1,0.4,,0.35,
"Macau",11.43,8,5.34,4,4.12,3
"Luxembourg",67.2,44,72.44,46,70.42,44
"Montenegro",15.08,9,15.17,10,13.1,8
"Suriname",0.97,1,1.32,1,1.02,1
"Malta",12.93,7,13.21,7,12.89,7
"Maldives",2.73,1,3.71,2,3.88,2
"Cape Verde",9.43,6,9.23,5,11.59,7
"Belize",2.84,1,1.83,1,1.78,1
"Bahamas",5.36,2,5.97,2,6.81,3
"Iceland",13.63,5,14.03,5,12.91,5
"Vanuatu",2.01,1,1.89,1,1.69,1
"New Caledonia",10.7,3,12.05,3,16.16,5
"Barbados",12.63,4,9.08,3,9.22,3
"Sao Tome and Principe",15.24,3,16.55,4,15.12,3
"Samoa",0.55,,1.46,,0.25,
"Saint Lucia",13.78,2,11.09,2,9.83,2
"Kiribati",0.12,,0.13,,0.12,
"Seychelles",23.03,2,15.52,2,15.35,2
"Grenada",8.03,1,4.57,1,4.83,1
"Micronesia",0.13,,0.28,,0.2,
"Tonga",2.16,,1.82,,1.65,
"Saint Vincent and the Grenadines",3.82,,3.27,,2.86,
"Antigua and Barbuda",13.66,1,8.56,1,8.77,1
"Dominica",7.88,1,7.24,1,5.17,
"Saint Kitts and Nevis",5.25,,7.2,,6,
"Tuvalu",1.42,,1.36,,0.15,