COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Aruba,ABW,AMRO,REPORTING,2023-12-29,217124.0,90493.0,203.0,85.0,84363.0,79.0,,2021-02-17,,35659.0,33.0
Afghanistan,AFG,EMRO,REPORTING,2023-12-31,2.296475E7,1.9151369E7,59.0,49.0,1.8370386E7,47.0,,2021-02-22,,2729940.0,7.0
Angola,AGO,AFRO,REPORTING,2023-12-31,2.7819132E7,1.6550642E7,85.0,50.0,9609080.0,29.0,,2021-03-10,,3067091.0,9.0
Anguilla,AIA,AMRO,REPORTING,2023-12-29,24864.0,10858.0,166.0,72.0,10382.0,69.0,,2021-02-05,,3231.0,22.0
Albania,ALB,EURO,REPORTING,2023-12-23,3088966.0,1349255.0,107.0,47.0,1279333.0,44.0,,2021-01-13,,402371.0,14.0
Andorra,AND,EURO,REPORTING,2023-12-23,157072.0,57913.0,203.0,75.0,53501.0,69.0,,2021-01-20,,43071.0,56.0
Argentina,ARG,AMRO,REPORTING,2023-12-29,1.16686617E8,4.118865E7,258.0,91.0,3.8090133E7,84.0,,2020-12-29,,2.7718875E7,61.0
Armenia,ARM,EURO,REPORTING,2023-12-23,2256919.0,1150915.0,76.0,39.0,1030758.0,35.0,,2021-01-27,,81354.0,3.0
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-12-29,136512.0,64290.0,139.0,66.0,62384.0,64.0,,2021-03-01,,9838.0,10.0
Australia,AUS,WPRO,REPORTING,2023-12-31,6.9686752E7,2.2443557E7,273.0,88.0,2.176624E7,85.0,,2021-02-21,,1.4391682E7,56.0
Austria,AUT,EURO,REPORTING,2023-12-23,2.0403676E7,6909588.0,229.0,78.0,6682372.0,75.0,,2020-12-30,,5405966.0,61.0
Azerbaijan,AZE,EURO,REPORTING,2023-12-23,1.382936E7,5436662.0,136.0,54.0,4888112.0,48.0,,2021-01-20,,3504588.0,35.0
Burundi,BDI,AFRO,REPORTING,2023-12-31,42252.0,36909.0,,,36321.0,,,2021-10-18,,314.0,
Belgium,BEL,EURO,REPORTING,2023-12-23,2.9117755E7,9248897.0,253.0,80.0,9152736.0,79.0,,2020-12-30,,7246551.0,63.0
Benin,BEN,AFRO,REPORTING,2023-12-31,4232541.0,3697190.0,35.0,30.0,2742837.0,23.0,,2021-03-29,,,
Burkina Faso,BFA,AFRO,REPORTING,2023-12-31,7893609.0,6089089.0,38.0,29.0,5232347.0,25.0,,2021-06-02,,4056.0,
Bulgaria,BGR,EURO,REPORTING,2023-12-23,4723016.0,2155863.0,68.0,31.0,2080472.0,30.0,,2020-12-30,,864723.0,12.0
Bahamas,BHS,AMRO,REPORTING,2023-12-29,366359.0,174810.0,93.0,44.0,166972.0,42.0,,2021-03-14,,33717.0,9.0
Bosnia and Herzegovina,BIH,EURO,REPORTING,2023-12-23,1190949.0,546013.0,36.0,17.0,461202.0,14.0,,,,182203.0,6.0
Belarus,BLR,EURO,REPORTING,2023-12-23,2.2765402E7,6451746.0,241.0,68.0,6366658.0,67.0,,2021-02-03,,5724423.0,61.0
Belize,BLZ,AMRO,REPORTING,2023-12-29,511106.0,236221.0,129.0,59.0,221478.0,56.0,,2021-03-01,,53189.0,13.0
Bermuda,BMU,AMRO,REPORTING,2023-12-29,136759.0,48554.0,220.0,78.0,47657.0,77.0,,2021-01-11,,32016.0,51.0
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-12-29,1.610454E7,7505389.0,138.0,64.0,6307628.0,54.0,,2021-01-30,,2521192.0,22.0
Brazil,BRA,AMRO,REPORTING,2023-12-29,5.16237106E8,1.84663245E8,243.0,87.0,1.72876264E8,81.0,,2021-01-17,,1.10574302E8,52.0
Barbados,BRB,AMRO,REPORTING,2023-12-29,384049.0,163853.0,134.0,57.0,155047.0,54.0,,2021-01-08,,62848.0,22.0
Botswana,BWA,AFRO,REPORTING,2023-12-31,3171667.0,1951054.0,135.0,83.0,1663490.0,71.0,,2021-03-26,,510809.0,22.0
Central African Republic,CAF,AFRO,REPORTING,2023-12-31,3342248.0,2600389.0,69.0,54.0,2484985.0,51.0,,2021-03-19,,366221.0,8.0
Canada,CAN,AMRO,REPORTING,2023-12-29,9.9034734E7,3.2647931E7,262.0,87.0,3.1314748E7,83.0,,2020-12-14,,1.9860368E7,53.0
Switzerland,CHE,EURO,REPORTING,2023-12-23,1.6755985E7,6096600.0,194.0,70.0,5723066.0,66.0,,2020-12-23,,4996650.0,58.0
Chile,CHL,AMRO,REPORTING,2023-12-29,6.68649E7,1.7538744E7,350.0,92.0,1.7721999E7,93.0,,2020-12-21,,1.5779434E7,83.0
C�te d'Ivoire,CIV,AFRO,REPORTING,2023-12-31,2.5263932E7,1.3568372E7,96.0,51.0,1.2164304E7,46.0,,2021-03-01,,3138712.0,12.0
Cameroon,CMR,AFRO,REPORTING,2023-12-31,4880572.0,3753733.0,18.0,14.0,3197286.0,12.0,,2021-04-12,,803560.0,3.0
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-12-31,1.8808671E7,1.7045721E7,21.0,19.0,1.439952E7,16.0,,2021-04-19,,,
Congo,COG,AFRO,REPORTING,2023-12-31,833210.0,695760.0,15.0,13.0,654119.0,12.0,,2021-03-23,,,
Colombia,COL,AMRO,REPORTING,2023-12-29,9.0931192E7,4.3012174E7,179.0,85.0,3.7204128E7,73.0,,2021-02-17,,1.4944212E7,29.0
Comoros,COM,AFRO,REPORTING,2023-12-31,835021.0,438825.0,96.0,50.0,397080.0,46.0,,2021-04-10,,,
Cabo Verde,CPV,AFRO,REPORTING,2023-12-31,859940.0,356734.0,155.0,64.0,308720.0,56.0,,2021-03-18,,749.0,
Costa Rica,CRI,AMRO,REPORTING,2023-12-29,1.3576935E7,4650636.0,267.0,91.0,4369784.0,86.0,,2020-12-24,,2986527.0,59.0
Cuba,CUB,AMRO,REPORTING,2023-12-29,4.5857667E7,1.07868E7,405.0,95.0,1.0043987E7,89.0,,,,8783298.0,78.0
Cura�ao,CUW,AMRO,REPORTING,2023-12-29,260324.0,108601.0,159.0,66.0,100885.0,61.0,,,,47473.0,29.0
Cayman Islands,CYM,AMRO,REPORTING,2023-12-29,152148.0,62113.0,232.0,95.0,60696.0,92.0,,2021-01-15,,24064.0,37.0
Cyprus,CYP,EURO,REPORTING,2023-12-23,1891597.0,669294.0,213.0,75.0,656138.0,74.0,,2020-12-23,,520026.0,59.0
Czechia,CZE,EURO,REPORTING,2023-12-23,1.8615329E7,6972222.0,174.0,65.0,6887973.0,64.0,,2020-12-23,,4365928.0,41.0
Germany,DEU,EURO,REPORTING,2023-12-23,1.93241457E8,6.4868618E7,232.0,78.0,6.3566137E7,76.0,,2020-12-23,,5.2143826E7,63.0
Djibouti,DJI,EMRO,REPORTING,2023-12-31,723789.0,372077.0,73.0,38.0,351712.0,36.0,,2021-03-15,,,
Dominica,DMA,AMRO,REPORTING,2023-12-29,67647.0,32995.0,94.0,46.0,30659.0,43.0,,2021-02-12,,3993.0,6.0
Denmark,DNK,EURO,REPORTING,2023-12-23,1.492843E7,4737987.0,256.0,81.0,4781285.0,82.0,,2020-12-16,,3674678.0,63.0
Dominican Republic,DOM,AMRO,REPORTING,2023-12-29,1.6431089E7,7360900.0,151.0,68.0,6130483.0,57.0,,2021-02-16,,2575142.0,24.0
Algeria,DZA,AFRO,REPORTING,2023-12-31,1.5267442E7,7840131.0,35.0,18.0,6481186.0,15.0,,2021-01-30,,575651.0,1.0
Ecuador,ECU,AMRO,REPORTING,2023-12-29,3.9585085E7,1.5345791E7,224.0,87.0,1.4249559E7,81.0,,2021-01-20,,7732930.0,44.0
Egypt,EGY,EMRO,REPORTING,2023-12-31,1.02191677E8,5.6907319E7,100.0,56.0,4.2337175E7,41.0,,2021-01-24,,1.5217352E7,15.0
Spain,ESP,EURO,REPORTING,2023-12-23,1.19228502E8,4.1332877E7,252.0,87.0,3.7486219E7,79.0,,2020-12-30,,3.2914841E7,70.0
Estonia,EST,EURO,REPORTING,2023-12-23,2205229.0,845148.0,166.0,64.0,842177.0,63.0,,2020-12-23,,487389.0,37.0
Ethiopia,ETH,AFRO,REPORTING,2023-12-31,6.8856793E7,5.2489512E7,60.0,46.0,4.3653006E7,38.0,,2021-03-13,,5978070.0,5.0
Finland,FIN,EURO,REPORTING,2023-12-23,1.4186622E7,4547671.0,257.0,82.0,4365135.0,79.0,,2020-12-23,,4016189.0,73.0
France,FRA,EURO,REPORTING,2023-12-23,1.58060078E8,5.4677676E7,243.0,84.0,5.3189148E7,82.0,,2020-12-23,,4.104216E7,63.0
Gabon,GAB,AFRO,REPORTING,2023-12-31,572672.0,311244.0,26.0,14.0,257471.0,12.0,,2021-03-23,,2592.0,
United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,2023-12-23,1.5124882E8,5.3813491E7,223.0,79.0,5.0762968E7,75.0,,2020-12-21,,,
Georgia,GEO,EURO,REPORTING,2023-12-23,2739270.0,1300867.0,69.0,33.0,1187212.0,30.0,,2021-03-17,,251191.0,6.0
Ghana,GHA,AFRO,REPORTING,2023-12-31,2.5624828E7,1.3864186E7,82.0,45.0,1.0780003E7,35.0,,2021-03-02,,4806017.0,15.0
Guinea,GIN,AFRO,REPORTING,2023-12-31,1.2049511E7,8715641.0,92.0,66.0,5853990.0,45.0,,2021-03-05,,425378.0,3.0
Guadeloupe,GLP,,REPORTING,2023-12-29,400424.0,152189.0,100.0,38.0,146147.0,37.0,,,,89052.0,22.0
Gambia,GMB,AFRO,REPORTING,2023-12-31,1444492.0,674314.0,60.0,28.0,539186.0,22.0,,2021-03-10,,53741.0,2.0
Guinea-Bissau,GNB,AFRO,REPORTING,2023-12-31,920752.0,747057.0,47.0,38.0,547637.0,28.0,,2021-04-02,,76359.0,4.0
Equatorial Guinea,GNQ,AFRO,REPORTING,2023-12-31,488738.0,270109.0,35.0,19.0,214032.0,15.0,,2021-02-12,,4597.0,
Greece,GRC,EURO,REPORTING,2023-12-23,2.2155251E7,7917288.0,207.0,74.0,7745574.0,72.0,,2020-12-23,,6071723.0,57.0
Grenada,GRD,AMRO,REPORTING,2023-12-29,90686.0,44241.0,81.0,39.0,39034.0,35.0,,2021-02-15,,7411.0,7.0
Guatemala,GTM,AMRO,REPORTING,2023-12-29,2.0383475E7,8937923.0,114.0,50.0,7130895.0,40.0,,2021-02-25,,3723845.0,21.0
French Guiana,GUF,,REPORTING,2023-12-29,242386.0,100359.0,81.0,34.0,90493.0,30.0,,,,46361.0,16.0
Guyana,GUY,AMRO,REPORTING,2023-12-29,967861.0,497550.0,123.0,63.0,384507.0,49.0,,2021-02-11,,80224.0,10.0
Honduras,HND,AMRO,REPORTING,2023-12-29,1.7074861E7,6596213.0,172.0,67.0,5853689.0,59.0,,2021-02-22,,4803544.0,48.0
Croatia,HRV,EURO,REPORTING,2023-12-23,5435966.0,2321669.0,134.0,57.0,2246622.0,55.0,,2020-12-23,,996098.0,25.0
Haiti,HTI,AMRO,REPORTING,2023-12-29,680104.0,521396.0,6.0,5.0,366339.0,3.0,,,,,
Hungary,HUN,EURO,REPORTING,2023-12-23,1.6578284E7,6358657.0,170.0,65.0,6152022.0,63.0,,2020-12-23,,3876420.0,40.0
Ireland,IRL,EURO,REPORTING,2023-12-23,1.3122238E7,4245977.0,264.0,86.0,4063819.0,82.0,,2020-12-30,,3787948.0,76.0
Iceland,ISL,EURO,REPORTING,2023-12-23,903424.0,307412.0,248.0,84.0,297934.0,82.0,,2020-12-30,,287652.0,79.0
Israel,ISR,EURO,REPORTING,2023-12-23,1.8852564E7,7055466.0,218.0,82.0,6385731.0,74.0,,2020-12-16,,4474108.0,52.0
Italy,ITA,EURO,REPORTING,2023-12-23,1.50321543E8,5.0583975E7,252.0,85.0,4.9484586E7,83.0,,2020-12-23,,4.4917315E7,75.0
Jamaica,JAM,AMRO,REPORTING,2023-12-29,1529113.0,722248.0,52.0,24.0,760800.0,26.0,,2021-03-10,,46065.0,2.0
Japan,JPN,WPRO,REPORTING,2023-12-31,4.33356604E8,1.04740066E8,343.0,83.0,1.03455221E8,82.0,,2021-02-17,,8.6666847E7,69.0
Kazakhstan,KAZ,EURO,REPORTING,2023-12-23,3.8355605E7,1.2443364E7,204.0,66.0,1.3070774E7,70.0,,2021-04-07,,6801526.0,36.0
Kenya,KEN,AFRO,REPORTING,2023-12-31,2.3750431E7,1.4494372E7,44.0,27.0,1.109044E7,21.0,,2021-03-05,,2000636.0,4.0
Kyrgyzstan,KGZ,EURO,REPORTING,2023-12-23,3167393.0,1528725.0,49.0,23.0,1337850.0,21.0,,2021-03-31,,300818.0,5.0
Cambodia,KHM,WPRO,REPORTING,2023-12-31,4.7826645E7,1.531667E7,286.0,92.0,1.4693274E7,88.0,,2021-02-10,,1.078271E7,64.0
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-12-29,64297.0,33794.0,121.0,64.0,27000.0,51.0,,2021-02-22,,3465.0,7.0
Kuwait,KWT,EMRO,REPORTING,2023-12-03,8261221.0,3457498.0,193.0,81.0,3346176.0,78.0,,2020-12-28,,1457547.0,34.0
Liberia,LBR,AFRO,REPORTING,2023-12-31,4460668.0,3903802.0,88.0,77.0,3730967.0,74.0,,2021-04-01,,1987.0,
Libya,LBY,EMRO,REPORTING,2023-12-31,3653384.0,2316327.0,53.0,34.0,1236102.0,18.0,,2021-04-11,,186729.0,3.0
Saint Lucia,LCA,AMRO,REPORTING,2023-12-29,122977.0,60140.0,67.0,33.0,54971.0,30.0,,2021-02-17,,7866.0,4.0
Lesotho,LSO,AFRO,REPORTING,2023-12-31,1339097.0,1014073.0,63.0,47.0,938088.0,44.0,,2021-03-10,,177816.0,8.0
Lithuania,LTU,EURO,REPORTING,2023-12-23,4532649.0,1960786.0,162.0,70.0,1907061.0,68.0,,2020-12-23,,902103.0,32.0
Luxembourg,LUX,EURO,REPORTING,2023-12-23,1337940.0,469285.0,214.0,75.0,462715.0,74.0,,2020-12-30,,368527.0,59.0
Latvia,LVA,EURO,REPORTING,2023-12-23,2979624.0,1344394.0,156.0,70.0,1304787.0,68.0,,2020-12-30,,550901.0,29.0
Morocco,MAR,EMRO,REPORTING,2023-12-31,5.5389602E7,2.5020168E7,150.0,68.0,2.3521989E7,64.0,,2021-01-28,,6925973.0,19.0
Monaco,MCO,EURO,REPORTING,2023-12-23,71929.0,25123.0,183.0,64.0,25261.0,64.0,,2021-06-30,,17747.0,45.0
Republic of Moldova,MDA,EURO,REPORTING,2023-12-23,2293086.0,1109524.0,57.0,28.0,1078961.0,27.0,,2021-03-03,,406022.0,10.0
Madagascar,MDG,AFRO,REPORTING,2023-12-31,3092063.0,2710365.0,11.0,10.0,2628849.0,9.0,,2021-05-10,,169187.0,1.0
Mexico,MEX,AMRO,REPORTING,2023-12-29,2.22226293E8,9.6727823E7,172.0,75.0,8.1346379E7,63.0,,2020-12-24,,5.7014052E7,44.0
North Macedonia,MKD,EURO,REPORTING,2023-12-23,1862987.0,854570.0,89.0,41.0,838181.0,40.0,,2021-02-17,,161633.0,8.0
Mali,MLI,AFRO,REPORTING,2023-12-31,5922585.0,4354292.0,29.0,22.0,3633589.0,18.0,,2021-03-31,,,
Malta,MLT,EURO,REPORTING,2023-12-23,1282437.0,450535.0,249.0,88.0,444904.0,86.0,,2020-12-23,,354901.0,69.0
Montenegro,MNE,EURO,REPORTING,2023-12-23,526975.0,272152.0,84.0,43.0,254365.0,40.0,,2021-02-24,,,
Mozambique,MOZ,AFRO,REPORTING,2023-12-31,3.4950858E7,2.2869646E7,112.0,73.0,2.1329745E7,68.0,,2021-03-08,,2323562.0,7.0
Mauritania,MRT,AFRO,REPORTING,2023-12-31,4075874.0,2103754.0,88.0,45.0,1540597.0,33.0,,2021-03-26,,383937.0,8.0
Montserrat,MSR,AMRO,REPORTING,2023-12-29,4619.0,2104.0,92.0,42.0,1952.0,39.0,,2021-02-08,,563.0,11.0
