COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Mauritius,MUS,AFRO,REPORTING,2023-12-31,2616012.0,1123773.0,206.0,88.0,1088142.0,86.0,,2021-01-26,,654507.0,51.0
Malawi,MWI,AFRO,REPORTING,2023-12-31,8503954.0,5433538.0,44.0,28.0,4288014.0,22.0,,2021-03-11,,1232829.0,6.0
Malaysia,MYS,WPRO,REPORTING,2023-12-31,7.2647279E7,2.8137593E7,224.0,87.0,2.7550612E7,85.0,,2021-02-24,,1.634767E7,51.0
Namibia,NAM,AFRO,REPORTING,2023-12-31,1005937.0,629767.0,40.0,25.0,550978.0,22.0,,2021-03-19,,298560.0,12.0
Niger,NER,AFRO,REPORTING,2023-12-31,7372208.0,6248483.0,30.0,26.0,5483001.0,23.0,,2021-03-29,,,
Nigeria,NGA,AFRO,REPORTING,2023-12-31,1.33048021E8,9.3829435E7,65.0,46.0,8.1297808E7,39.0,,2021-03-05,,1.6826715E7,8.0
Nicaragua,NIC,AMRO,REPORTING,2023-12-29,1.5507763E7,6404524.0,234.0,97.0,6126708.0,92.0,,2021-03-03,,2892531.0,44.0
Netherlands (Kingdom of the),NLD,EURO,REPORTING,2023-12-23,4.0291263E7,1.3469323E7,231.0,77.0,1.2405837E7,71.0,,2020-12-30,,1.2146841E7,70.0
Norway,NOR,EURO,REPORTING,2023-12-23,1.3020641E7,4346149.0,243.0,81.0,4061312.0,76.0,,2020-12-23,,3705726.0,69.0
Panama,PAN,AMRO,REPORTING,2023-12-29,9201276.0,3746041.0,213.0,87.0,3178700.0,74.0,,2021-01-20,,1770843.0,41.0
Peru,PER,AMRO,REPORTING,2023-12-29,9.1328338E7,3.0542485E7,277.0,93.0,2.8709882E7,87.0,,2021-02-09,,2.2245062E7,67.0
Papua New Guinea,PNG,WPRO,REPORTING,2023-12-04,543670.0,399198.0,6.0,4.0,338004.0,4.0,,2021-03-30,,37525.0,
Poland,POL,EURO,REPORTING,2023-12-23,5.8634593E7,2.2984543E7,154.0,61.0,2.2705868E7,60.0,,2020-12-23,,1.2928562E7,34.0
Puerto Rico,PRI,AMRO,REPORTING,2023-12-29,7846764.0,3136418.0,274.0,100.0,2688410.0,94.0,,,,1808780.0,63.0
Portugal,PRT,EURO,REPORTING,2023-12-23,2.7360186E7,9822021.0,266.0,95.0,8910340.0,87.0,,2020-12-23,,7052055.0,68.0
Paraguay,PRY,AMRO,REPORTING,2023-12-29,9954852.0,3995915.0,140.0,56.0,3550673.0,50.0,,2021-02-22,,1660766.0,23.0
Romania,ROU,EURO,REPORTING,2023-12-23,1.6112261E7,8188137.0,83.0,42.0,8142363.0,42.0,,2021-01-27,,1770001.0,9.0
Russian Federation,RUS,EURO,REPORTING,2023-12-23,1.87374508E8,8.9081596E7,128.0,61.0,7.9702396E7,55.0,,,,,
Rwanda,RWA,AFRO,REPORTING,2023-12-31,2.7322059E7,1.0884714E7,211.0,84.0,1.0399665E7,80.0,,2021-03-05,,5879013.0,45.0
Sudan,SDN,EMRO,REPORTING,2023-12-31,2.8662107E7,1.5207452E7,65.0,35.0,1.3416394E7,31.0,,2021-03-09,,38261.0,
Senegal,SEN,AFRO,REPORTING,2023-12-31,3182308.0,2684696.0,19.0,16.0,1548665.0,9.0,,2021-02-23,,724754.0,4.0
Sierra Leone,SLE,AFRO,REPORTING,2023-12-31,9155936.0,5676123.0,115.0,71.0,4961886.0,62.0,,2021-03-15,,1201709.0,15.0
El Salvador,SLV,AMRO,REPORTING,2023-12-29,1.1459448E7,4659970.0,177.0,72.0,4397817.0,68.0,,2021-02-17,,1908547.0,29.0
San Marino,SMR,EURO,REPORTING,2023-12-23,69338.0,26357.0,204.0,78.0,23633.0,70.0,,2021-02-24,,19348.0,57.0
Somalia,SOM,EMRO,REPORTING,2023-12-31,8784760.0,8972167.0,55.0,56.0,7666835.0,48.0,,2021-03-16,,,
Serbia,SRB,EURO,REPORTING,2023-12-23,6722671.0,3398116.0,97.0,49.0,3324555.0,48.0,,2020-12-23,,,
South Sudan,SSD,AFRO,REPORTING,2023-12-31,4365547.0,4315127.0,39.0,39.0,4273253.0,38.0,,2021-04-06,,513122.0,5.0
Sao Tome and Principe,STP,AFRO,REPORTING,2023-12-31,263863.0,140256.0,120.0,64.0,111986.0,51.0,,2021-03-15,,34624.0,16.0
Suriname,SUR,AMRO,REPORTING,2023-12-29,554588.0,267820.0,95.0,46.0,237879.0,41.0,,2021-02-23,,48889.0,8.0
Slovakia,SVK,EURO,REPORTING,2023-12-23,7222380.0,2840017.0,132.0,52.0,2791711.0,51.0,,2020-12-23,,1686458.0,31.0
Slovenia,SVN,EURO,REPORTING,2023-12-23,3028400.0,1252307.0,144.0,60.0,1187384.0,57.0,,2020-12-23,,681485.0,33.0
Sweden,SWE,EURO,REPORTING,2023-12-23,2.3237123E7,7563941.0,225.0,73.0,7403549.0,72.0,,2020-12-23,,5542831.0,54.0
Eswatini,SWZ,AFRO,REPORTING,2023-12-31,870205.0,526050.0,75.0,45.0,427335.0,37.0,,2021-03-19,,179450.0,15.0
Sint Maarten (Dutch part),SXM,AMRO,REPORTING,2023-12-29,66829.0,29788.0,156.0,69.0,26773.0,62.0,,,,9146.0,21.0
Seychelles,SYC,AFRO,REPORTING,2023-12-31,224558.0,88520.0,228.0,90.0,83565.0,85.0,,2021-01-10,,44936.0,46.0
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-12-29,73907.0,32815.0,191.0,85.0,30710.0,79.0,,2021-01-11,,7443.0,19.0
Chad,TCD,AFRO,REPORTING,2023-12-31,9151765.0,5147667.0,56.0,31.0,5020360.0,31.0,,2021-06-04,,4042573.0,25.0
Togo,TGO,AFRO,REPORTING,2023-12-31,3423181.0,2255579.0,41.0,27.0,1554066.0,19.0,,2021-03-10,,427804.0,5.0
Tajikistan,TJK,EURO,REPORTING,2023-12-23,2.0568163E7,5328277.0,216.0,56.0,5191919.0,54.0,,2021-03-24,,5322496.0,56.0
Turkmenistan,TKM,EURO,REPORTING,2023-12-23,1.677597E7,4614869.0,278.0,77.0,4568901.0,76.0,,2021-02-24,,3816400.0,63.0
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-12-29,1592148.0,754399.0,114.0,54.0,718969.0,51.0,,2021-02-17,,174836.0,12.0
Tunisia,TUN,EMRO,REPORTING,2023-12-31,1.6553338E7,8896848.0,140.0,75.0,6401705.0,54.0,,2021-03-13,,1258577.0,11.0
T�rkiye,TUR,EURO,REPORTING,2023-12-23,1.52475057E8,5.7936783E7,181.0,69.0,5.317179E7,63.0,,,,2.7896331E7,33.0
United Republic of Tanzania,TZA,AFRO,REPORTING,2023-12-31,3.9392419E7,3.4434933E7,66.0,58.0,3.2165791E7,54.0,,2021-07-28,,,
Uganda,UGA,AFRO,REPORTING,2023-12-31,2.6406936E7,2.0033189E7,58.0,44.0,1.3061126E7,29.0,,2021-03-10,,764664.0,2.0
Ukraine,UKR,EURO,REPORTING,2023-12-23,3.5735488E7,1.6267198E7,82.0,37.0,1.5741036E7,36.0,,2021-02-24,,3294979.0,8.0
Uruguay,URY,AMRO,REPORTING,2023-12-29,9037498.0,3010464.0,260.0,87.0,2903186.0,84.0,,2021-02-27,,2080961.0,60.0
United States of America,USA,AMRO,REPORTING,2023-12-29,7.1181379E8,2.70227181E8,215.0,82.0,2.30637348E8,70.0,,2020-12-14,,1.18438297E8,36.0
Uzbekistan,UZB,EURO,REPORTING,2023-12-23,8.3937954E7,2.209447E7,251.0,66.0,1.8451781E7,55.0,,2021-04-28,,1.6413048E7,49.0
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-12-29,73443.0,37532.0,66.0,34.0,31632.0,29.0,,2021-02-01,,4279.0,4.0
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-12-29,3.7860994E7,2.2157232E7,133.0,78.0,1.428737E7,50.0,,2021-02-22,,651502.0,2.0
British Virgin Islands,VGB,AMRO,REPORTING,2023-12-29,41453.0,19466.0,137.0,64.0,18261.0,60.0,,2021-02-11,,3726.0,12.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,EURO,REPORTING,2023-12-23,1836901.0,904558.0,102.0,50.0,824752.0,46.0,,2021-03-31,,105624.0,6.0
Yemen,YEM,EMRO,REPORTING,2023-12-10,1298654.0,1050202.0,4.0,4.0,807057.0,3.0,,2021-04-20,,68925.0,
South Africa,ZAF,AFRO,REPORTING,2023-12-31,4.1798812E7,2.4210953E7,70.0,41.0,2.1038797E7,35.0,,2021-02-17,,4410601.0,7.0
Zambia,ZMB,AFRO,REPORTING,2023-12-31,1.3615707E7,1.1711565E7,74.0,64.0,9155551.0,50.0,,2021-04-14,,1414619.0,8.0
Zimbabwe,ZWE,AFRO,REPORTING,2023-12-31,1.3935112E7,7525882.0,94.0,51.0,5662119.0,38.0,,2021-02-18,,2299968.0,15.0
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,2.4922054E7,9991089.0,252.0,100.0,9792266.0,99.0,,,,5138699.0,52.0
Bangladesh,BGD,SEARO,REPORTING,2023-10-18,3.62229859E8,1.51504394E8,220.0,92.0,1.42193276E8,86.0,,2021-01-27,,6.8532189E7,42.0
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633.0,1241174.0,204.0,73.0,1226796.0,72.0,,2020-11-04,,1008663.0,59.0
Brunei Darussalam,BRN,WPRO,REPORTING,2023-06-30,1293100.0,451149.0,296.0,100.0,446714.0,100.0,,2021-04-03,,340466.0,78.0
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426.0,699116.0,261.0,91.0,677669.0,88.0,,2021-03-27,,634641.0,82.0
China,CHN,WPRO,REPORTING,2023-04-20,3.516880717E9,1.318026807E9,239.0,90.0,1.284479582E9,87.0,,2020-07-22,,8.34060133E8,57.0
Cook Islands,COK,WPRO,REPORTING,2023-01-31,40080.0,15112.0,228.0,86.0,14728.0,84.0,,2021-05-17,,10240.0,58.0
Fiji,FJI,WPRO,REPORTING,2023-06-29,1555182.0,712025.0,173.0,79.0,641194.0,72.0,,2021-03-07,,172078.0,19.0
Gibraltar,GIB,,REPORTING,,,,,,,,,,,,
Greenland,GRL,EURO,REPORTING,,,,,,,,,,,,
"China, Hong Kong SAR",HKG,WPRO,REPORTING,,,,,,,,,,,,
Indonesia,IDN,SEARO,REPORTING,2023-11-23,4.4819986E8,2.04419394E8,164.0,75.0,1.74965137E8,64.0,,2021-01-13,,6.935625E7,25.0
India,IND,SEARO,REPORTING,2023-11-23,2.208365081E9,1.027419851E9,160.0,74.0,9.52128795E8,69.0,,2021-01-16,,2.28816435E8,17.0
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-11-26,1.55461757E8,6.5199831E7,185.0,78.0,5.8585264E7,70.0,,2021-02-09,,3.1352288E7,37.0
Iraq,IRQ,EMRO,REPORTING,2023-01-02,1.9557364E7,1.1332925E7,49.0,28.0,7944775.0,20.0,,2021-03-02,,275280.0,1.0
Jordan,JOR,EMRO,REPORTING,2022-08-21,1.0057975E7,4821579.0,99.0,47.0,4558313.0,45.0,,2021-01-13,,682211.0,7.0
Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980.0,100900.0,184.0,84.0,81474.0,68.0,,2021-05-26,,37606.0,31.0
Republic of Korea,KOR,WPRO,REPORTING,2023-09-04,1.35927574E8,4.5119824E7,265.0,88.0,4.4689199E7,87.0,,2021-02-26,,3.3644119E7,66.0
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,1.387941E7,6324678.0,191.0,87.0,5691962.0,78.0,,2020-11-25,,2451034.0,34.0
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699.0,2740227.0,85.0,40.0,2414223.0,35.0,,2021-02-14,,660249.0,10.0
Liechtenstein,LIE,,REPORTING,,71104.0,26681.0,,,26346.0,,,,,18310.0,
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,4.011659E7,1.7143761E7,187.0,80.0,1.4752827E7,69.0,,2021-01-29,,8220002.0,38.0
"China, Macao SAR",MAC,WPRO,REPORTING,,,,,,,,,,,,
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764.0,399308.0,176.0,74.0,385167.0,71.0,,2021-02-01,,167289.0,31.0
Myanmar,MMR,SEARO,REPORTING,2023-08-21,9.3477104E7,4.1551927E7,172.0,76.0,3.5937796E7,66.0,,2021-01-27,,1.5987381E7,29.0
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144.0,2284018.0,173.0,70.0,2185282.0,67.0,,2021-02-23,,1058839.0,32.0
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497.0,192371.0,168.0,67.0,184801.0,65.0,,2021-01-20,,103325.0,36.0
Niue,NIU,WPRO,REPORTING,2023-03-04,4923.0,1638.0,304.0,100.0,1635.0,100.0,,2021-06-08,,1225.0,76.0
Nepal,NPL,SEARO,REPORTING,2023-11-23,6.2627629E7,2.7883196E7,215.0,96.0,2.4471043E7,84.0,,2021-01-27,,1.027339E7,35.0
Nauru,NRU,WPRO,REPORTING,2023-02-20,32157.0,13106.0,297.0,100.0,11346.0,100.0,,2021-04-09,,7705.0,71.0
New Zealand,NZL,WPRO,REPORTING,2023-04-21,1.2252378E7,4259911.0,254.0,88.0,4096278.0,85.0,,2021-02-19,,2719283.0,56.0
Oman,OMN,EMRO,REPORTING,2022-10-25,7108547.0,3279632.0,139.0,64.0,3048826.0,60.0,,2020-12-29,,779859.0,15.0
Pakistan,PAK,EMRO,REPORTING,2023-11-14,3.40974144E8,1.6556789E8,154.0,75.0,1.40475871E8,64.0,,2021-02-03,,5.3152375E7,24.0
Philippines,PHL,WPRO,REPORTING,2023-03-19,1.89317158E8,8.2684774E7,173.0,75.0,7.8443972E7,72.0,,2021-03-01,,2.3811248E7,22.0
Palau,PLW,WPRO,REPORTING,2023-03-10,51032.0,20295.0,282.0,100.0,18278.0,100.0,,2021-01-03,,12885.0,71.0
"occupied Palestinian territory, including east Jerusalem",PSE,EMRO,REPORTING,2022-10-18,3748571.0,2012767.0,73.0,39.0,1776973.0,35.0,,2021-02-02,,336967.0,7.0
French Polynesia,PYF,WPRO,REPORTING,2023-07-17,493692.0,195688.0,176.0,70.0,195688.0,70.0,,2021-01-18,,102317.0,36.0
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178.0,2852178.0,264.0,99.0,2852178.0,99.0,,,,1904822.0,66.0
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,6.8534631E7,2.7041364E7,197.0,78.0,2.5433941E7,73.0,,2021-01-06,,1.6059326E7,46.0
Singapore,SGP,WPRO,REPORTING,2023-08-29,1.530253E7,5287005.0,262.0,90.0,5248693.0,90.0,,2020-12-30,,4769158.0,82.0
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700.0,335796.0,89.0,49.0,254016.0,37.0,,2021-03-23,,27896.0,4.0
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630.0,3295630.0,29.0,19.0,2358365.0,13.0,,2021-04-01,,75881.0,
Thailand,THA,SEARO,REPORTING,2023-09-01,1.42635014E8,5.7666184E7,204.0,83.0,5.4196116E7,78.0,,2021-02-28,,3.2143431E7,46.0
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342.0,2203.0,470.0,100.0,2203.0,100.0,,2021-07-20,,968.0,72.0
Timor-Leste,TLS,SEARO,REPORTING,2023-11-22,2028798.0,886838.0,154.0,67.0,801759.0,61.0,,2021-04-07,,340201.0,26.0
Tonga,TON,WPRO,REPORTING,2023-06-30,204737.0,87375.0,194.0,83.0,77390.0,73.0,,2021-04-14,,38588.0,37.0
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783.0,9763.0,227.0,83.0,9505.0,81.0,,2021-04-13,,5745.0,49.0
"Taiwan, China",TWN,,REPORTING,,,,,,,,,,,,
Viet Nam,VNM,WPRO,REPORTING,2023-06-30,2.66492149E8,9.0497674E7,274.0,93.0,8.5961564E7,88.0,,2021-03-08,,5.797522E7,60.0
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430.0,176624.0,116.0,58.0,162250.0,53.0,,2021-06-02,,16556.0,5.0
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303.0,7150.0,154.0,64.0,6803.0,60.0,,2021-03-19,,3350.0,30.0
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130.0,191403.0,228.0,96.0,177954.0,90.0,,2021-04-18,,82268.0,41.0
