"country","VodkaConsumptionPerPerson"
"India",0.19
"China",0.14
"United States",3.76
"Indonesia",0.08
"Brazil",0.56
"Bangladesh",0.05
"Russia",17.28
"Mexico",0.23
"Japan",0.16
"Philippines",0.06
"Vietnam",0.07
"Turkey",0.51
"Germany",1.51
"Thailand",0.09
"United Kingdom",3.01
"France",0.72
"South Africa",0.74
"Italy",0.2
"Myanmar",0.009
"South Korea",0.15
"Spain",0.38
"Argentina",0.21
"Canada",2.63
"Poland",13.71
"Ukraine",9.96
"Malaysia",0.1
"Nepal",0.03
"Venezuela",0.18
"Australia",0.94
"Taiwan",0.12
"Sri Lanka",0.04
"Chile",0.54
"Romania",0.73
"Netherlands",0.39
"Cambodia",0.007
"Belgium",0.94
"United Arab Emirates",0.93
"Czech Republic",1.51
"Sweden",1.13
"Portugal",0.36
"Greece",0.52
"Hungary",2.63
"Israel",2.25
"Austria",1.69
"Switzerland",0.71
"Laos",0.008
"Hong Kong",0.37
"Bulgaria",5.26
"Denmark",0.74
"Singapore",0.19
"Finland",3.19
"Norway",1.68
"Slovakia",4.13
"Ireland",3.38
"New Zealand",0.75
"Mongolia",0.005
"Timor-Leste",0.004
"Bhutan",0.02
"Maldives",0.01
"Brunei",0.006