User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion

500,27,Female,Snapchat,120,4,40,18,22,Neutral

488,21,Non-binary,Snapchat,60,1,18,7,12,Neutral

776,28,Non-binary,Snapchat,115,3,38,18,27,Anxiety

869,27,Male,Telegram,105,3,48,20,28,Anxiety

573,21,Non-binary,Facebook,55,3,17,7,12,Neutral

428,25,Female,Instagram,160,6,85,26,30,Happiness

528,25,Female,Instagram,160,6,85,26,30,Happiness

773,21,Non-binary,Facebook,55,3,17,7,12,Neutral

382,24,Non-binary,Snapchat,85,3,33,20,18,Happiness

505,33,Male,LinkedIn,45,1,10,5,12,Boredom

20,32,Female,Instagram,140,5,70,22,33,Happiness

444,23,Non-binary,Facebook,105,2,25,12,18,Neutral

720,32,Female,Instagram,140,6,75,28,30,Happiness

328,25,Female,Instagram,160,6,85,26,30,Happiness

372,35,Male,Twitter,70,1,13,8,10,Boredom

555,31,Male,LinkedIn,60,1,15,7,17,Anxiety

181,31,Male,Telegram,50,2,20,10,12,Sadness

413,34,Male,LinkedIn,65,1,14,6,15,Boredom

132,28,Male,Instagram,145,5,75,20,35,Happiness

743,29,Male,Twitter,95,4,50,22,22,Anger

526,31,Male,Facebook,80,2,20,10,20,Neutral

962,23,Male,Whatsapp,70,3,22,10,18,Anger

497,22,Female,Facebook,70,1,14,6,10,Neutral

275,25,Male,Telegram,80,4,30,13,25,Neutral

836,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom

35,29,Male,Facebook,65,2,22,8,20,Anxiety

760,27,Male,Facebook,60,1,12,5,15,Boredom

700,27,Female,Snapchat,120,4,40,18,22,Neutral

58,29,Non-binary,Snapchat,50,2,15,5,18,Sadness

481,31,Male,Telegram,50,2,20,10,12,Sadness

847,21,Female,Twitter,90,3,37,14,20,Sadness

850,28,Female,LinkedIn,55,1,12,6,10,Boredom

487,31,Male,Telegram,85,3,45,20,28,Sadness

820,32,Female,Instagram,140,6,75,28,30,Happiness

776,28,Non-binary,Snapchat,115,3,38,18,27,Anxiety

932,28,Male,Instagram,145,7,80,30,35,Happiness

599,28,Non-binary,Telegram,60,2,18,8,18,Anger

627,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety

212,26,Non-binary,Facebook,95,3,30,14,18,Sadness

872,35,Male,Twitter,70,1,13,8,10,Boredom

155,31,Male,LinkedIn,60,1,15,7,17,Anxiety

830,26,Non-binary,Facebook,45,1,8,4,12,Sadness

174,29,Female,Whatsapp,90,2,24,12,22,Anger

119,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral

490,30,Male,Twitter,70,2,30,12,20,Anxiety

594,29,Female,Snapchat,95,2,23,10,28,Sadness

651,Male,27,Instagram,165,6,85,30,28,Happiness

713,34,Male,LinkedIn,65,1,14,6,15,Boredom

801,25,Female,Instagram,120,5,50,20,25,Happiness

319,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral

783,34,Female,Instagram,120,5,60,25,25,Anger

376,28,Non-binary,Snapchat,115,3,38,18,27,Anxiety

562,23,Male,Whatsapp,70,3,22,10,18,Anger

693,24,Male,Telegram,75,3,37,16,22,Neutral

76,28,Male,Twitter,90,4,48,22,25,Anxiety

169,27,Male,Telegram,105,3,45,15,28,Anxiety

900,27,Female,Snapchat,120,4,40,18,22,Neutral

986,28,Female,Whatsapp,100,4,37,14,26,Anxiety

807,27,Female,Twitter,85,3,40,18,20,Anger

275,25,Male,Telegram,80,4,28,11,25,Neutral

815,28,Male,Twitter,100,6,50,30,29,Anger

227,27,Non-binary,LinkedIn,55,1,9,2,11,Anxiety

60,27,Male,Facebook,60,1,10,4,15,Boredom

866,29,Non-binary,Facebook,60,1,12,4,12,Boredom

944,23,Non-binary,Facebook,105,2,25,12,18,Neutral

711,23,Female,Twitter,75,4,45,20,25,Anxiety

211,23,Female,Twitter,75,4,45,20,25,Anxiety

33,23,Non-binary,Twitter,70,3,27,11,18,Neutral

348,26,Non-binary,Facebook,75,2,30,12,18,Anxiety

944,23,Non-binary,Facebook,105,2,25,12,18,Neutral

846,30,Male,Instagram,175,7,100,33,38,Happiness

672,35,Male,Twitter,70,1,13,8,10,Boredom

223,29,Male,LinkedIn,60,2,15,5,10,Neutral

926,31,Male,Facebook,80,2,20,10,20,Neutral

81,31,Male,Telegram,50,2,18,6,10,Boredom

526,31,Male,Facebook,80,2,20,10,20,Neutral

997,22,Female,Facebook,70,1,14,6,10,Neutral

561,31,Male,Instagram,175,6,72,30,33,Happiness

48,26,Non-binary,Facebook,75,2,28,11,18,Anxiety

849,32,Marie,Instagram,130,5,80,28,31,Neutral

621,26,Male,Facebook,75,2,30,14,20,Anxiety

261,29,Female,Snapchat,90,3,22,10,21,Sadness

16,21,Non-binary,Facebook,40,1,5,2,10,Neutral

170,22,Non-binary,Snapchat,75,2,21,8,20,Sadness

653,29,Non-binary,Facebook,85,2,27,9,20,Neutral

422,24,Female,Twitter,105,4,35,20,23,Anger

378,26,Male,Twitter,75,2,23,12,18,Sadness

304,28,Female,Instagram,200,8,110,40,45,Anxiety

149,32,Male,Instagram,130,5,70,19,31,Neutral

290,30,Male,Twitter,70,2,28,10,20,Anxiety

759,28,Female,Twitter,95,4,48,22,25,Happiness

205,33,Male,LinkedIn,45,1,10,5,12,Boredom

719,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral

666,29,Non-binary,Facebook,60,1,12,4,12,Boredom

476,28,Non-binary,Snapchat,115,3,38,18,26,Anxiety

278,26,Male,Twitter,75,2,23,12,18,Sadness

821,26,Male,Facebook,75,2,30,14,20,Anxiety

418,27,Male,Twitter,90,3,40,16,24,Sadness

184,22,Male,Twitter,70,1,20,5,22,Neutral

896,33,Male,LinkedIn,85,4,35,18,18,Boredom

708,24,Non-binary,Facebook,110,6,35,23,25,Sadness

993,24,Male,Telegram,75,3,37,16,22,Neutral

60,27,Male,Facebook,60,1,10,4,15,Boredom